 ,Area,Mean,Min,Max
1,9,104.667,103,106
2,4,104.500,104,105
3,4,106.000,106,106
4,3,106.000,106,106
5,6,105.167,104,106
6,3,105.333,104,106
7,4,105.250,104,106
8,6,106.000,106,106
9,5,106.000,106,106
10,4,104.500,104,105
11,5,105.600,105,106
12,3,105.333,105,106
13,5,106.000,106,106
14,10,103.900,103,106
15,4,105.250,105,106
16,6,106.000,106,106
17,5,105.800,105,106
18,3,105.667,105,106
19,4,106.000,106,106
20,3,105.667,105,106
21,6,105.833,105,106
22,4,104.750,103,106
23,8,105.875,105,106
24,5,105.800,105,106
25,8,105.750,105,106
26,3,105.667,105,106
27,4,106.000,106,106
28,4,106.000,106,106
29,5,106.000,106,106
30,12,106.000,106,106
31,7,104.857,102,106
32,4,105.750,105,106
33,7,106.000,106,106
34,8,104.875,101,106
35,12,106.000,106,106
36,5,105.800,105,106
37,3,104.333,102,106
38,9,104.444,102,106
39,3,105.333,105,106
40,4,103.250,102,104
41,4,103.750,99,106
42,6,104.167,101,106
43,3,103.333,102,105
44,7,105.714,105,106
45,5,106.000,106,106
46,3,106.000,106,106
47,6,105.333,103,106
48,3,105.000,104,106
49,6,105.500,104,106
50,8,104.250,103,105
51,3,105.333,104,106
52,6,105.667,105,106
53,9,105.111,104,106
54,3,105.667,105,106
55,5,105.400,104,106
56,8,105.875,105,106
57,3,106.000,106,106
58,3,106.000,106,106
59,8,105.500,105,106
60,5,104.200,103,105
61,4,106.000,106,106
62,6,105.000,104,106
63,3,106.000,106,106
64,5,105.200,104,106
65,3,102.333,101,103
66,3,105.000,104,106
67,7,104.857,102,106
68,5,105.600,105,106
69,3,106.000,106,106
70,5,104.800,103,106
71,9,104.000,101,106
72,5,105.000,103,106
73,6,105.833,105,106
74,3,106.000,106,106
75,5,104.800,104,106
76,5,104.000,103,105
77,6,104.833,104,106
78,3,106.000,106,106
79,9,105.111,103,106
80,4,104.250,103,106
81,4,103.750,102,105
82,3,105.667,105,106
83,3,104.667,103,106
84,3,104.667,103,106
85,7,104.286,103,105
86,3,106.000,106,106
87,3,106.000,106,106
88,3,106.000,106,106
89,4,105.000,105,105
90,3,106.000,106,106
91,4,106.000,106,106
92,4,104.750,104,105
93,10,104.800,104,106
94,5,105.000,105,105
95,3,106.000,106,106
96,3,106.000,106,106
97,7,105.857,105,106
98,3,105.667,105,106
99,5,106.000,106,106
100,3,105.333,104,106
101,3,105.667,105,106
102,3,106.000,106,106
103,3,105.000,104,106
104,7,104.857,104,106
105,4,106.000,106,106
106,9,106.000,106,106
107,3,105.667,105,106
108,6,105.167,104,106
109,7,104.571,104,105
110,6,104.500,104,106
111,4,106.000,106,106
112,8,105.750,105,106
113,7,105.857,105,106
114,8,105.625,104,106
115,3,106.000,106,106
116,9,105.000,104,106
117,3,106.000,106,106
118,4,105.750,105,106
119,3,105.667,105,106
120,4,106.000,106,106
121,7,105.143,103,106
122,3,106.000,106,106
123,7,103.714,102,106
124,11,101.182,99,105
125,4,106.000,106,106
126,3,106.000,106,106
127,3,106.000,106,106
128,3,105.333,104,106
129,3,105.667,105,106
130,3,106.000,106,106
131,4,104.750,104,106
132,5,106.000,106,106
133,3,106.000,106,106
134,5,104.600,104,106
135,6,106.000,106,106
136,6,104.833,103,106
137,3,106.000,106,106
138,4,105.500,105,106
139,3,106.000,106,106
140,3,106.000,106,106
141,10,106.000,106,106
142,5,106.000,106,106
143,4,105.000,104,106
144,3,106.000,106,106
145,5,106.000,106,106
146,6,106.000,106,106
147,7,105.000,104,106
148,8,105.000,102,106
149,3,106.000,106,106
150,3,106.000,106,106
151,3,106.000,106,106
152,4,106.000,106,106
153,5,106.000,106,106
154,8,106.000,106,106
155,4,106.000,106,106
156,7,106.000,106,106
157,3,104.667,104,106
158,3,105.667,105,106
159,7,105.000,103,106
160,4,106.000,106,106
161,6,105.833,105,106
162,3,105.000,104,106
163,3,106.000,106,106
164,3,106.000,106,106
165,4,106.000,106,106
166,3,106.000,106,106
167,8,105.250,104,106
168,5,106.000,106,106
169,3,106.000,106,106
170,11,105.909,105,106
171,3,106.000,106,106
172,3,104.000,102,105
173,3,106.000,106,106
174,5,106.000,106,106
175,4,106.000,106,106
176,4,106.000,106,106
177,7,105.286,105,106
178,3,106.000,106,106
179,3,106.000,106,106
180,3,105.667,105,106
181,4,106.000,106,106
182,3,106.000,106,106
183,4,106.000,106,106
184,3,105.333,104,106
185,10,105.400,102,106
186,3,106.000,106,106
187,3,104.667,103,106
188,3,105.667,105,106
189,8,103.875,102,106
190,4,105.000,103,106
191,12,105.917,105,106
192,3,106.000,106,106
193,11,105.091,103,106
194,4,105.500,105,106
195,5,104.800,102,106
196,4,105.250,104,106
197,3,106.000,106,106
198,5,105.200,105,106
199,5,104.600,103,106
200,4,106.000,106,106
201,9,105.222,104,106
202,3,104.333,103,106
203,4,106.000,106,106
204,3,106.000,106,106
205,5,106.000,106,106
206,6,104.333,103,106
207,3,106.000,106,106
208,3,106.000,106,106
209,3,105.667,105,106
210,4,105.750,105,106
211,3,105.333,105,106
212,5,106.000,106,106
213,5,105.800,105,106
214,6,105.333,104,106
215,3,106.000,106,106
216,6,106.000,106,106
217,3,104.000,103,106
218,3,106.000,106,106
219,6,103.833,103,105
220,6,104.667,103,106
221,3,106.000,106,106
222,3,105.000,105,105
223,3,105.667,105,106
224,3,103.667,103,104
225,3,105.333,104,106
226,9,103.667,102,105
227,3,105.000,104,106
228,4,106.000,106,106
229,12,104.417,103,106
230,4,106.000,106,106
231,8,106.000,106,106
232,3,105.667,105,106
233,12,106.000,106,106
234,4,106.000,106,106
235,12,105.417,104,106
236,3,104.667,104,106
237,8,103.625,102,106
238,4,106.000,106,106
239,15,103.867,102,106
240,3,106.000,106,106
241,6,105.333,104,106
242,3,106.000,106,106
243,4,106.000,106,106
244,5,105.400,105,106
245,3,106.000,106,106
246,3,105.667,105,106
247,4,105.000,105,105
248,3,106.000,106,106
249,8,105.875,105,106
250,6,106.000,106,106
251,4,104.000,103,105
252,3,105.333,104,106
253,3,106.000,106,106
254,5,105.600,105,106
255,8,104.750,104,106
256,3,105.000,104,106
257,7,104.857,103,106
258,6,105.167,105,106
259,5,106.000,106,106
260,5,106.000,106,106
261,9,104.667,102,106
262,3,105.000,104,106
263,4,106.000,106,106
264,6,105.333,103,106
265,3,106.000,106,106
266,13,106.000,106,106
267,6,105.667,105,106
268,3,105.667,105,106
269,15,102.533,99,106
270,7,104.857,104,106
271,4,106.000,106,106
272,3,103.000,102,105
273,7,105.571,105,106
274,3,106.000,106,106
275,8,105.625,105,106
276,7,105.000,104,106
277,4,106.000,106,106
278,6,105.500,105,106
279,10,103.900,102,106
280,3,105.667,105,106
281,5,105.400,105,106
282,5,106.000,106,106
283,3,104.333,104,105
284,7,105.429,105,106
